periodname,MOH 505 Rev 2020_Malaria mRDT Positive,MOH 505 Rev 2020_Malaria Microscopy Positive,Combined positive
Week 38 2024-09-16 - 2024-09-22,"5,089","1,039","6,128"
Week 39 2024-09-23 - 2024-09-29,"2,964",683,"3,647"
Week 40 2024-09-30 - 2024-10-06,"2,242",147,"2,389"
Week 41 2024-10-07 - 2024-10-13,"1,147",386,"1,533"
Week 42 2024-10-14 - 2024-10-20,"1,151",96,"1,247"
Week 43 2024-10-21 - 2024-10-27,973,89,"1,062"
Week 44 2024-10-28 - 2024-11-03,819,95,914
Week 45 2024-11-04 - 2024-11-10,"1,351",87,"1,438"
Week 46 2024-11-11 - 2024-11-17,"2,898",106,"3,004"
Week 47 2024-11-18 - 2024-11-24,"2,449",99,"2,548"
Week 48 2024-11-25 - 2024-12-01,"1,622",27,"1,649"
Week 49 2024-12-02 - 2024-12-08,"2,209",48,"2,257"
Week 50 2024-12-09 - 2024-12-15,"3,201",261,"3,462"
Week 51 2024-12-16 - 2024-12-22,"5,845",292,"6,137"
Week 52 2024-12-23 - 2024-12-29,"3,797",95,"3,892"
Week 1 2024-12-30 - 2025-01-05,"3,502",159,"3,661"
Week 2 2025-01-06 - 2025-01-12,"3,259",148,"3,407"
Week 3 2025-01-13 - 2025-01-19,"2,620",122,"2,742"
Week 4 2025-01-20 - 2025-01-26,"2,205",138,"2,343"
Week 5 2025-01-27 - 2025-02-02,"1,937",104,"2,041"
Week 6 2025-02-03 - 2025-02-09,"1,195",74,"1,269"
Week 7 2025-02-10 - 2025-02-16,854,134,988
Week 8 2025-02-17 - 2025-02-23,710,72,782
Week 9 2025-02-24 - 2025-03-02,70,283,353
Week 10 2025-03-03 - 2025-03-09,77,167,244
Week 11 2025-03-10 - 2025-03-16,85,125,210
Week 12 2025-03-17 - 2025-03-23,97,145,242
Week 13 2025-03-24 - 2025-03-30,67,126,193
Week 14 2025-03-31 - 2025-04-06,145,206,351
Week 15 2025-04-07 - 2025-04-13,574,466,"1,040"
Week 16 2025-04-14 - 2025-04-20,240,"1,121","1,361"
Week 17 2025-04-21 - 2025-04-27,"2,188",87,"2,275"
Week 18 2025-04-28 - 2025-05-04,351,49,400
Week 19 2025-05-05 - 2025-05-11,"1,537",87,"1,624"
Week 20 2025-05-12 - 2025-05-18,"2,816",143,"2,959"
Week 21 2025-05-19 - 2025-05-25,"3,186",134,"3,320"
Week 22 2025-05-26 - 2025-06-01,"6,293",390,"6,683"
Week 23 2025-06-02 - 2025-06-08,"5,711",301,"6,012"
Week 24 2025-06-09 - 2025-06-15,"6,132",268,"6,400"
Week 25 2025-06-16 - 2025-06-22,"5,029",425,"5,454"
Week 26 2025-06-23 - 2025-06-29,"4,132",165,"4,297"
Week 27 2025-06-30 - 2025-07-06,"5,813",208,"6,021"
Week 28 2025-07-07 - 2025-07-13,"2,389",104,"2,493"
Week 29 2025-07-14 - 2025-07-20,"2,668",124,"2,792"
Week 30 2025-07-21 - 2025-07-27,"1,859",67,"1,926"
Week 31 2025-07-28 - 2025-08-03,"2,248",116,"2,364"
Week 32 2025-08-04 - 2025-08-10,"2,861",169,"3,030"
Week 33 2025-08-11 - 2025-08-17,"2,805",194,"2,999"
Week 34 2025-08-18 - 2025-08-24,"1,884",140,"2,024"
Week 35 2025-08-25 - 2025-08-31,"2,409",85,"2,494"
Week 36 2025-09-01 - 2025-09-07,"2,681",95,"2,776"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
